n,max_err_F,max_err_F',max_err_F''
5,0.305147,7.68631,99.3546
10,0.0554678,3.11505,99.3333
20,0.0125775,1.46406,99.3333
40,0.00306717,0.720642,99.3333
80,0.000762024,0.358908,99.3333
160,0.000190209,0.179278,99.3333
